"","UMAP1","UMAP2","gene","module","color","hub","kME"
"FIBP",2.254629324977,2.2781537762694,"FIBP","Module9","#1f6e9c","other",0.394162951334922
"BANP",5.10176916033466,-5.29578673924879,"BANP","Module5","#de597c","other",0.270247497474364
"PPP1CA",0.756704401080209,0.875548361878836,"PPP1CA","Module7","#9f5691","hub",0.80311836353039
"CTSW",-0.445946473772925,3.54346811686083,"CTSW","Module10","#2b9b81","other",0.210741485622232
"MRPL52",4.48010606676777,3.73055040751025,"MRPL52","Module2","#fe9b00","other",0.36802444829745
"TMEM134",-0.645374167855186,1.99242174540087,"TMEM134","Module7","#9f5691","other",0.271376606871177
"CORO1B",-0.270349715049666,3.34281837854906,"CORO1B","Module10","#2b9b81","other",0.121350719698363
"CFL1",-1.56680088132183,4.2181955567412,"CFL1","Module10","#2b9b81","other",0.210716651853081
"RNASEH2C",5.35326881319721,-0.301663995642221,"RNASEH2C","Module2","#fe9b00","other",0.248684446575392
"MIR4435.2HG",1.04863090426167,-7.87689483251051,"MIR4435.2HG","Module8","#633372","other",0.20114065270815
"ADRBK1",-11.6746762284593,-5.088753105063,"ADRBK1","Module6","#e87b89","other",0.547187187488787
"TRMT112",4.91061611086567,3.89751493845507,"TRMT112","Module2","#fe9b00","other",0.591963190184006
"MRPL57",5.54447288424214,7.44141733561083,"MRPL57","Module4","#9b3441","other",0.349279375803438
"COMMD1",5.49442167193134,-0.849430248994386,"COMMD1","Module2","#fe9b00","other",0.187481642368161
"GLRX",-0.0412864723757925,-1.69069802846388,"GLRX","Module1","#f4c40f","other",0.622704687615993
"GOLGB1",-1.5822824725465,-3.10378682698683,"GOLGB1","Module11","#92c051","other",0.479289831862207
"MZT2A",-0.532142479117316,0.00525605593248613,"MZT2A","Module7","#9f5691","other",0.392133985034482
"C1QB",0.284257959429818,-1.40414232100919,"C1QB","Module1","#f4c40f","hub",0.792730427548487
"C1QA",0.128757189814645,-1.43104747023062,"C1QA","Module1","#f4c40f","other",0.715248060363103
"MINOS1",-1.85256259530346,5.25716268930956,"MINOS1","Module10","#2b9b81","other",0.222297647437089
